[il],[ilce],[mahalle/koy],[lat],[lon]
ADANA, FEKE, KALEYÜZÜ MAH., 37.833542, 35.710880
ADANA, FEKE, KARACAOĞLAN MAH., 37.812485, 35.912956
ADANA, FEKE, KARACAUŞAĞI MAH., 37.799713, 35.878721
ADANA, FEKE, KAŞALTI MAH., 37.720450, 35.974194
ADANA, FEKE, KAYADİBİ MAH., 37.772422, 35.774714
ADANA, FEKE, KAZANCI MAH., 37.809613, 35.937498
ADANA, FEKE, KEKLİKÇİ MAH., 37.836726, 35.912525
ADANA, FEKE, KIRIKUŞAĞI MAH., 37.787830, 35.989376
ADANA, FEKE, KISACIKLI MAH., 37.767801, 35.832818
ADANA, FEKE, KIZILYER MAH., 37.885441, 35.904755
ADANA, FEKE, KOÇYAZI MAH., 37.714185, 35.797675
ADANA, FEKE, KONAKKURAN MAH., 37.734613, 35.764465
ADANA, FEKE, KOVUKÇINAR MAH., 37.813055, 36.006489
ADANA, FEKE, MANSURLU MAH., 37.868430, 35.625028
ADANA, FEKE, MUSALAR MAH., 37.820973, 35.681901
ADANA, FEKE, OLUCAK MAH., ---, ---
ADANA, FEKE, ORMANCIK MAH., 37.874925, 35.686518
ADANA, FEKE, ORTAKÖY MAH., 37.781713, 35.700972
ADANA, FEKE, ORUÇLU MAH., 37.930658, 35.694369
ADANA, FEKE, PAŞALI MAH., 37.766418, 35.986133
ADANA, FEKE, SÜLEMİŞLİ MAH., 37.840844, 35.944999
ADANA, FEKE, SÜPHANDERE MAH., 37.942383, 35.853425
ADANA, FEKE, ŞAHMURATLI MAH., 37.900675, 35.653379
ADANA, FEKE, TENKERLİ MAH., 37.755057, 35.959058
ADANA, FEKE, TOKMANAKLI MAH., 37.700589, 36.007926
ADANA, FEKE, TORTULU MAH., 37.794431, 35.779610
ADANA, FEKE, UĞURLUBAĞ MAH., 37.729483, 35.926826
ADANA, FEKE, YAYLAPINAR MAH., 37.886580, 35.827751
ADANA, FEKE, YEREBAKAN MAH., 37.816989, 35.845160
ADANA, FEKE, YEŞİL DÜŞMÜŞ MAH., ---, ---
ADANA, KARATAŞ, ADALI MAH., 36.632421, 35.540281
ADANA, KARATAŞ, ATAKÖY MAH., 36.754051, 35.113698
ADANA, KARATAŞ, BAHÇE MAH., 36.610893, 35.447656
ADANA, KARATAŞ, BEBELİ MAH., 36.639726, 35.489823
ADANA, KARATAŞ, ÇAĞŞIRLI MAH., 36.742268, 35.418380
ADANA, KARATAŞ, ÇAKIRÖREN MAH., 36.609473, 35.369017
ADANA, KARATAŞ, ÇAVUŞLU MAH., 36.717488, 35.180560
ADANA, KARATAŞ, ÇİMELİ MAH., 36.697959, 35.343200
ADANA, KARATAŞ, ÇUKURKAMIŞ MAH., 36.680227, 35.354842
ADANA, KARATAŞ, DAMLAPINAR MAH., 36.777526, 35.124936
ADANA, KARATAŞ, DEVELİÖREN MAH., 36.738205, 35.448518
ADANA, KARATAŞ, DOLAPLI MAH., 36.692280, 35.244080
ADANA, KARATAŞ, GÖLKAYA MAH., 36.592047, 35.368038
ADANA, KARATAŞ, HACIHASAN MAH., 36.728530, 35.274074
ADANA, KARATAŞ, HASIRAĞACI MAH., 36.722601, 35.079787
ADANA, KARATAŞ, HELVACI MAH., 36.714544, 35.359989
ADANA, KARATAŞ, İNNEPLİHÜYÜĞÜ MAH., 36.671087, 35.156503
ADANA, KARATAŞ, İSAHACILI MAH., 36.686688, 35.289498
ADANA, KARATAŞ, KAPI MAH., 36.648608, 35.195319
ADANA, KARATAŞ, KARAGÖÇER MAH., 36.710935, 35.152425
ADANA, KARATAŞ, KARATAŞ MAH., 36.582216, 35.369628
ADANA, KARATAŞ, KARŞIYAKA MAH., 36.558696, 35.378692
ADANA, KARATAŞ, KEMALİYE MAH., 36.567348, 35.381953
ADANA, KARATAŞ, KESİK MAH., 36.684336, 35.448231
ADANA, KARATAŞ, KIRHASAN MAH., 36.689155, 35.312936
ADANA, KARATAŞ, KIZILTAHTA MAH., 36.749533, 35.480453
ADANA, KARATAŞ, KİREMİTLİ MAH., 36.708570, 35.284396
ADANA, KARATAŞ, MELETMEZ MAH., 36.713083, 35.221244
ADANA, KARATAŞ, ORTA MAH., 36.562747, 35.380399
ADANA, KARATAŞ, OYMAKLI MAH., 36.725746, 35.353225
ADANA, KARATAŞ, SARIMSAK MAH., 36.683917, 35.136039
ADANA, KARATAŞ, SİRKENLİ MAH., 36.729969, 35.400018
ADANA, KARATAŞ, TABAKLAR MAH., 36.750148, 35.002226
ADANA, KARATAŞ, TABUR MAH., 36.673273, 35.129113
ADANA, KARATAŞ, TERLİKSİZ MAH., 36.689950, 35.334648
ADANA, KARATAŞ, TOPRAKLI MAH., 36.671464, 35.323823
ADANA, KARATAŞ, TUZKUYUSU MAH., 36.732724, 35.091977
